,0,1,2,3,4
45,Band_Aid,trade name for an adhesive bandage to cover small cuts or blisters,['Band_Aid'],46,0
46,bandage,a piece of soft material that covers and protects an injured part of the body,['bandage'],47,0
47,bandanna,large and brightly colored handkerchief; often used as a neckerchief,"['bandanna', 'bandana']",48,0
48,banjo,a stringed instrument of the guitar family with a long neck and circular body,['banjo'],49,0
49,banner,long strip of cloth or paper used for decoration or advertising,"['banner', 'streamer']",50,0
50,barbell,a bar to which heavy discs are attached at each end; used in weightlifting,['barbell'],51,0
51,barge,a flatbottom boat for carrying heavy loads (especially on canals),['barge'],52,0
52,barrel,a cylindrical container that holds liquids,"['barrel', 'cask']",53,0
53,barrette,a pin for holding women's hair in place,['barrette'],54,0
54,barrow,a cart for carrying small loads; has handles and one or more wheels,"['barrow', 'garden_cart', 'lawn_cart', 'wheelbarrow']",55,0
55,baseball_base,a place that the runner must touch before scoring,['baseball_base'],56,0
56,baseball,a ball used in playing baseball,['baseball'],57,0
57,baseball_bat,an implement used in baseball by the batter,['baseball_bat'],58,0
58,baseball_cap,a cap with a bill,"['baseball_cap', 'jockey_cap', 'golf_cap']",59,0
59,baseball_glove,the handwear used by fielders in playing baseball,"['baseball_glove', 'baseball_mitt']",60,0
60,basket,a container that is usually woven and has handles,"['basket', 'handbasket']",61,0
61,basketball,an inflated ball used in playing basketball,['basketball'],62,0
62,bass_horn,the lowest brass wind instrument,"['bass_horn', 'sousaphone', 'tuba']",63,0
63,bat_(animal),nocturnal mouselike mammal with forelimbs modified to form membranous wings,['bat_(animal)'],64,0
64,bath_mat,a heavy towel or mat to stand on while drying yourself after a bath,['bath_mat'],65,0
65,bath_towel,a large towel; to dry yourself after a bath,['bath_towel'],66,0
66,bathrobe,a loose-fitting robe of towelling; worn after a bath or swim,['bathrobe'],67,0
67,bathtub,a large open container that you fill with water and use to wash the body,"['bathtub', 'bathing_tub']",68,0
68,batter_(food),"a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking",['batter_(food)'],69,0
69,battery,a portable device that produces electricity,['battery'],70,0
70,beachball,large and light ball; for play at the seaside,['beachball'],71,0
71,bead,"a small ball with a hole through the middle used for ornamentation, jewellery, etc.",['bead'],72,0
72,bean_curd,cheeselike food made of curdled soybean milk,"['bean_curd', 'tofu']",73,0
73,beanbag,a bag filled with dried beans or similar items; used in games or to sit on,['beanbag'],74,0
74,beanie,a small skullcap; formerly worn by schoolboys and college freshmen,"['beanie', 'beany']",75,0
75,bear,large carnivorous or omnivorous mammals with shaggy coats and claws,['bear'],76,0
76,bed,a piece of furniture that provides a place to sleep,['bed'],77,0
77,bedpan,a shallow vessel used by a bedridden patient for defecation and urination,['bedpan'],78,0
78,bedspread,decorative cover for a bed,"['bedspread', 'bedcover', 'bed_covering', 'counterpane', 'spread']",79,0
79,cow,cattle/cow,['cow'],80,0
80,beef_(food),meat from an adult domestic bovine,"['beef_(food)', 'boeuf_(food)']",81,0
81,beeper,an device that beeps when the person carrying it is being paged,"['beeper', 'pager']",82,0
82,beer_bottle,a bottle that holds beer,['beer_bottle'],83,0
83,beer_can,a can that holds beer,['beer_can'],84,0
84,beetle,insect with hard wing covers,['beetle'],85,0
85,bell,a hollow device made of metal that makes a ringing sound when struck,['bell'],86,0
86,bell_pepper,large bell-shaped sweet pepper in green or red or yellow or orange or black varieties,"['bell_pepper', 'capsicum']",87,0
87,belt,a band to tie or buckle around the body (usually at the waist),['belt'],88,0
88,belt_buckle,the buckle used to fasten a belt,['belt_buckle'],89,0
89,bench,a long seat for more than one person,['bench'],90,0
90,beret,a cap with no brim or bill; made of soft cloth,['beret'],91,0
91,bib,a napkin tied under the chin of a child while eating,['bib'],92,0
92,Bible,the sacred writings of the Christian religions,['Bible'],93,0
93,bicycle,a wheeled vehicle that has two wheels and is moved by foot pedals,"['bicycle', 'bike_(bicycle)']",94,0
94,visor,a brim that projects to the front to shade the eyes,"['visor', 'vizor']",95,0
95,billboard,large outdoor signboard,['billboard'],96,0
96,binder,holds loose papers or magazines,"['binder', 'ring-binder']",97,0
97,binoculars,an optical instrument designed for simultaneous use by both eyes,"['binoculars', 'field_glasses', 'opera_glasses']",98,0
98,bird,animal characterized by feathers and wings,['bird'],99,0
99,birdfeeder,an outdoor device that supplies food for wild birds,['birdfeeder'],100,0
100,birdbath,an ornamental basin (usually in a garden) for birds to bathe in,['birdbath'],101,0
101,birdcage,a cage in which a bird can be kept,['birdcage'],102,0
102,birdhouse,a shelter for birds,['birdhouse'],103,0
103,birthday_cake,decorated cake served at a birthday party,['birthday_cake'],104,0
104,birthday_card,a card expressing a birthday greeting,['birthday_card'],105,0
105,pirate_flag,a flag usually bearing a white skull and crossbones on a black background,['pirate_flag'],106,0
106,black_sheep,sheep with a black coat,['black_sheep'],107,0
107,blackberry,large sweet black or very dark purple edible aggregate fruit,['blackberry'],108,0
108,blackboard,sheet of slate; for writing with chalk,"['blackboard', 'chalkboard']",109,0
109,blanket,bedding that keeps a person warm in bed,['blanket'],110,0
110,blazer,lightweight jacket; often striped in the colors of a club or school,"['blazer', 'sport_jacket', 'sport_coat', 'sports_jacket', 'sports_coat']",111,0
111,blender,an electrically powered mixer that mix or chop or liquefy foods,"['blender', 'liquidizer', 'liquidiser']",112,0
112,blimp,a small nonrigid airship used for observation or as a barrage balloon,['blimp'],113,0
113,blinker,a light that flashes on and off; used as a signal or to send messages,"['blinker', 'flasher']",114,0
114,blouse,a top worn by women,['blouse'],115,0
115,blueberry,sweet edible dark-blue berries of blueberry plants,['blueberry'],116,0
116,gameboard,a flat portable surface (usually rectangular) designed for board games,['gameboard'],117,0
117,boat,a vessel for travel on water,"['boat', 'ship_(boat)']",118,0
118,bob,a small float usually made of cork; attached to a fishing line,"['bob', 'bobber', 'bobfloat']",119,0
119,bobbin,a thing around which thread/tape/film or other flexible materials can be wound,"['bobbin', 'spool', 'reel']",120,0
120,bobby_pin,a flat wire hairpin used to hold bobbed hair in place,"['bobby_pin', 'hairgrip']",121,0
121,boiled_egg,egg cooked briefly in the shell in gently boiling water,"['boiled_egg', 'coddled_egg']",122,0
122,bolo_tie,a cord fastened around the neck with an ornamental clasp and worn as a necktie,"['bolo_tie', 'bolo', 'bola_tie', 'bola']",123,0
123,deadbolt,the part of a lock that is engaged or withdrawn with a key,['deadbolt'],124,0
124,bolt,a screw that screws into a nut to form a fastener,['bolt'],125,0
125,bonnet,a hat tied under the chin,['bonnet'],126,0
126,book,a written work or composition that has been published,['book'],127,0
127,bookcase,a piece of furniture with shelves for storing books,['bookcase'],128,0
128,booklet,a small book usually having a paper cover,"['booklet', 'brochure', 'leaflet', 'pamphlet']",129,0
129,bookmark,a marker (a piece of paper or ribbon) placed between the pages of a book,"['bookmark', 'bookmarker']",130,0
130,boom_microphone,a pole carrying an overhead microphone projected over a film or tv set,"['boom_microphone', 'microphone_boom']",131,0
131,boot,footwear that covers the whole foot and lower leg,['boot'],132,0
132,bottle,a glass or plastic vessel used for storing drinks or other liquids,['bottle'],133,0
133,bottle_opener,an opener for removing caps or corks from bottles,['bottle_opener'],134,0
134,bouquet,an arrangement of flowers that is usually given as a present,['bouquet'],135,0
135,bow_(weapon),a weapon for shooting arrows,['bow_(weapon)'],136,0
136,bow_(decorative_ribbons),a decorative interlacing of ribbons,['bow_(decorative_ribbons)'],137,0
137,bow-tie,a man's tie that ties in a bow,"['bow-tie', 'bowtie']",138,0
138,bowl,a dish that is round and open at the top for serving foods,['bowl'],139,0
139,pipe_bowl,a small round container that is open at the top for holding tobacco,['pipe_bowl'],140,0
140,bowler_hat,a felt hat that is round and hard with a narrow brim,"['bowler_hat', 'bowler', 'derby_hat', 'derby', 'plug_hat']",141,0
141,bowling_ball,a large ball with finger holes used in the sport of bowling,['bowling_ball'],142,0
142,box,a (usually rectangular) container; may have a lid,['box'],143,0
143,boxing_glove,large glove coverings the fists of a fighter worn for the sport of boxing,['boxing_glove'],144,0
144,suspenders,elastic straps that hold trousers up (usually used in the plural),['suspenders'],145,0
145,bracelet,jewelry worn around the wrist for decoration,"['bracelet', 'bangle']",146,0
146,brass_plaque,a memorial made of brass,['brass_plaque'],147,0
147,brassiere,an undergarment worn by women to support their breasts,"['brassiere', 'bra', 'bandeau']",148,0
148,bread-bin,a container used to keep bread or cake in,"['bread-bin', 'breadbox']",149,0
149,bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,['bread'],150,0
150,breechcloth,a garment that provides covering for the loins,"['breechcloth', 'breechclout', 'loincloth']",151,0
151,bridal_gown,a gown worn by the bride at a wedding,"['bridal_gown', 'wedding_gown', 'wedding_dress']",152,0
152,briefcase,a case with a handle; for carrying papers or files or books,['briefcase'],153,0
153,broccoli,plant with dense clusters of tight green flower buds,['broccoli'],154,0
154,broach,a decorative pin worn by women,['broach'],155,0
155,broom,bundle of straws or twigs attached to a long handle; used for cleaning,['broom'],156,0
156,brownie,square or bar of very rich chocolate cake usually with nuts,['brownie'],157,0
157,brussels_sprouts,the small edible cabbage-like buds growing along a stalk,['brussels_sprouts'],158,0
158,bubble_gum,a kind of chewing gum that can be blown into bubbles,['bubble_gum'],159,0
159,bucket,a roughly cylindrical vessel that is open at the top,"['bucket', 'pail']",160,0
160,horse_buggy,a small lightweight carriage; drawn by a single horse,['horse_buggy'],161,0
161,bull,a cow with horns,['horned_cow'],162,0
162,bulldog,a thickset short-haired dog with a large head and strong undershot lower jaw,['bulldog'],163,0
163,bulldozer,large powerful tractor; a large blade in front flattens areas of ground,"['bulldozer', 'dozer']",164,0
164,bullet_train,a high-speed passenger train,['bullet_train'],165,0
165,bulletin_board,a board that hangs on a wall; displays announcements,"['bulletin_board', 'notice_board']",166,0
166,bulletproof_vest,a vest capable of resisting the impact of a bullet,['bulletproof_vest'],167,0
167,bullhorn,a portable loudspeaker with built-in microphone and amplifier,"['bullhorn', 'megaphone']",168,0
168,bun,small rounded bread either plain or sweet,"['bun', 'roll']",169,0
169,bunk_bed,beds built one above the other,['bunk_bed'],170,0
170,buoy,a float attached by rope to the seabed to mark channels in a harbor or underwater hazards,['buoy'],171,0
171,burrito,a flour tortilla folded around a filling,['burrito'],172,0
172,bus_(vehicle),a vehicle carrying many passengers; used for public transport,"['bus_(vehicle)', 'autobus', 'charabanc', 'double-decker', 'motorbus', 'motorcoach']",173,0
173,business_card,a card on which are printed the person's name and business affiliation,['business_card'],174,0
174,butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,['butter'],175,0
175,butterfly,insect typically having a slender body with knobbed antennae and broad colorful wings,['butterfly'],176,0
176,button,a round fastener sewn to shirts and coats etc to fit through buttonholes,['button'],177,0
177,cab_(taxi),a car that takes passengers where they want to go in exchange for money,"['cab_(taxi)', 'taxi', 'taxicab']",178,0
178,cabana,a small tent used as a dressing room beside the sea or a swimming pool,['cabana'],179,0
179,cabin_car,a car on a freight train for use of the train crew; usually the last car on the train,"['cabin_car', 'caboose']",180,0
180,cabinet,a piece of furniture resembling a cupboard with doors and shelves and drawers,['cabinet'],181,0
181,locker,a storage compartment for clothes and valuables; usually it has a lock,"['locker', 'storage_locker']",182,0
182,cake,"baked goods made from or based on a mixture of flour, sugar, eggs, and fat",['cake'],183,0
183,calculator,a small machine that is used for mathematical calculations,['calculator'],184,0
184,calendar,"a list or register of events (appointments/social events/court cases, etc)",['calendar'],185,0
185,calf,young of domestic cattle,['calf'],186,0
186,camcorder,a portable television camera and videocassette recorder,['camcorder'],187,0
187,camel,cud-chewing mammal used as a draft or saddle animal in desert regions,['camel'],188,0
188,camera,equipment for taking photographs,['camera'],189,0
189,camera_lens,a lens that focuses the image in a camera,['camera_lens'],190,0
190,camper_(vehicle),a recreational vehicle equipped for camping out while traveling,"['camper_(vehicle)', 'camping_bus', 'motor_home']",191,0
191,can,airtight sealed metal container for food or drink or paint etc.,"['can', 'tin_can']",192,0
192,can_opener,a device for cutting cans open,"['can_opener', 'tin_opener']",193,0
193,candle,stick of wax with a wick in the middle,"['candle', 'candlestick']",194,0
194,candle_holder,a holder with sockets for candles,['candle_holder'],195,0
195,candy_bar,a candy shaped as a bar,['candy_bar'],196,0
196,candy_cane,a hard candy in the shape of a rod (usually with stripes),['candy_cane'],197,0
197,walking_cane,a stick that people can lean on to help them walk,['walking_cane'],198,0
198,canister,metal container for storing dry foods such as tea or flour,"['canister', 'cannister']",199,0
199,canoe,small and light boat; pointed at both ends; propelled with a paddle,['canoe'],200,0
200,cantaloup,the fruit of a cantaloup vine; small to medium-sized melon with yellowish flesh,"['cantaloup', 'cantaloupe']",201,0
201,canteen,a flask for carrying water; used by soldiers or travelers,['canteen'],202,0
202,cap_(headwear),a tight-fitting headwear,['cap_(headwear)'],203,0
203,bottle_cap,a top (as for a bottle),"['bottle_cap', 'cap_(container_lid)']",204,0
204,cape,a sleeveless garment like a cloak but shorter,['cape'],205,0
205,cappuccino,equal parts of espresso and steamed milk,"['cappuccino', 'coffee_cappuccino']",206,0
206,car_(automobile),a motor vehicle with four wheels,"['car_(automobile)', 'auto_(automobile)', 'automobile']",207,0
207,railcar_(part_of_a_train),a wheeled vehicle adapted to the rails of railroad (mark each individual railcar separately),"['railcar_(part_of_a_train)', 'railway_car_(part_of_a_train)', 'railroad_car_(part_of_a_train)']",208,0
208,elevator_car,where passengers ride up and down,['elevator_car'],209,0
209,car_battery,a battery in a motor vehicle,"['car_battery', 'automobile_battery']",210,0
210,identity_card,a card certifying the identity of the bearer,['identity_card'],211,0
211,card,a rectangular piece of paper used to send messages (e.g. greetings or pictures),['card'],212,0
212,cardigan,knitted jacket that is fastened up the front with buttons or a zipper,['cardigan'],213,0
213,cargo_ship,a ship designed to carry cargo,"['cargo_ship', 'cargo_vessel']",214,0
214,carnation,plant with pink to purple-red spice-scented usually double flowers,['carnation'],215,0
215,horse_carriage,a vehicle with wheels drawn by one or more horses,['horse_carriage'],216,0
216,carrot,deep orange edible root of the cultivated carrot plant,['carrot'],217,0
217,tote_bag,a capacious bag or basket,['tote_bag'],218,0
218,cart,a heavy open wagon usually having two wheels and drawn by an animal,['cart'],219,0
219,carton,a container made of cardboard for holding food or drink,['carton'],220,0
220,cash_register,a cashbox with an adding machine to register transactions,"['cash_register', 'register_(for_cash_transactions)']",221,0
221,casserole,food cooked and served in a casserole,['casserole'],222,0
222,cassette,a container that holds a magnetic tape used for recording or playing sound or video,['cassette'],223,0
223,cast,bandage consisting of a firm covering that immobilizes broken bones while they heal,"['cast', 'plaster_cast', 'plaster_bandage']",224,0
224,cat,a domestic house cat,['cat'],225,0
225,cauliflower,edible compact head of white undeveloped flowers,['cauliflower'],226,0
226,cayenne_(spice),ground pods and seeds of pungent red peppers of the genus Capsicum,"['cayenne_(spice)', 'cayenne_pepper_(spice)', 'red_pepper_(spice)']",227,0
227,CD_player,electronic equipment for playing compact discs (CDs),['CD_player'],228,0
228,celery,widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked,['celery'],229,0
229,cellular_telephone,a hand-held mobile telephone,"['cellular_telephone', 'cellular_phone', 'cellphone', 'mobile_phone', 'smart_phone']",230,0
230,chain_mail,(Middle Ages) flexible armor made of interlinked metal rings,"['chain_mail', 'ring_mail', 'chain_armor', 'chain_armour', 'ring_armor', 'ring_armour']",231,0
231,chair,"a seat for one person, with a support for the back",['chair'],232,0
232,chaise_longue,a long chair; for reclining,"['chaise_longue', 'chaise', 'daybed']",233,0
233,chalice,a bowl-shaped drinking vessel; especially the Eucharistic cup,['chalice'],234,0
234,chandelier,branched lighting fixture; often ornate; hangs from the ceiling,['chandelier'],235,0
235,chap,leather leggings without a seat; worn over trousers by cowboys to protect their legs,['chap'],236,0
236,checkbook,a book issued to holders of checking accounts,"['checkbook', 'chequebook']",237,0
237,checkerboard,a board having 64 squares of two alternating colors,['checkerboard'],238,0
238,cherry,a red fruit with a single hard stone,['cherry'],239,0
239,chessboard,a checkerboard used to play chess,['chessboard'],240,0
240,chicken_(animal),a domestic fowl bred for flesh or eggs,['chicken_(animal)'],241,0
241,chickpea,the seed of the chickpea plant; usually dried,"['chickpea', 'garbanzo']",242,0
242,chili_(vegetable),very hot and finely tapering pepper of special pungency,"['chili_(vegetable)', 'chili_pepper_(vegetable)', 'chilli_(vegetable)', 'chilly_(vegetable)', 'chile_(vegetable)']",243,0
243,chime,an instrument consisting of a set of bells that are struck with a hammer,"['chime', 'gong']",244,0
244,chinaware,dishware made of high quality porcelain,['chinaware'],245,0
245,crisp_(potato_chip),a thin crisp slice of potato fried in deep fat,"['crisp_(potato_chip)', 'potato_chip']",246,0
246,poker_chip,a small disk-shaped counter used to represent money when gambling,['poker_chip'],247,0
247,chocolate_bar,a bar of chocolate candy,['chocolate_bar'],248,0
248,chocolate_cake,cake containing chocolate,['chocolate_cake'],249,0
249,chocolate_milk,milk flavored with chocolate syrup,['chocolate_milk'],250,0
250,chocolate_mousse,dessert mousse made with chocolate,['chocolate_mousse'],251,0
251,choker,"shirt collar, animal collar, or tight-fitting necklace","['choker', 'collar', 'neckband']",252,0
252,chopping_board,a wooden board where meats or vegetables can be cut,"['chopping_board', 'cutting_board', 'chopping_block']",253,0
253,chopstick,one of a pair of slender sticks used as oriental tableware to eat food with,['chopstick'],254,0
254,Christmas_tree,an ornamented evergreen used as a Christmas decoration,['Christmas_tree'],255,0
255,slide,sloping channel through which things can descend,['slide'],256,0
256,cider,a beverage made from juice pressed from apples,"['cider', 'cyder']",257,0
257,cigar_box,a box for holding cigars,['cigar_box'],258,0
258,cigarette,finely ground tobacco wrapped in paper; for smoking,['cigarette'],259,0
259,cigarette_case,a small flat case for holding cigarettes,"['cigarette_case', 'cigarette_pack']",260,0
260,cistern,a tank that holds the water used to flush a toilet,"['cistern', 'water_tank']",261,0
261,clarinet,a single-reed instrument with a straight tube,['clarinet'],262,0
262,clasp,a fastener (as a buckle or hook) that is used to hold two things together,['clasp'],263,0
263,cleansing_agent,a preparation used in cleaning something,"['cleansing_agent', 'cleanser', 'cleaner']",264,0
264,cleat_(for_securing_rope),a fastener (usually with two projecting horns) around which a rope can be secured,['cleat_(for_securing_rope)'],265,0
265,clementine,a variety of mandarin orange,['clementine'],266,0
266,clip,any of various small fasteners used to hold loose articles together,['clip'],267,0
267,clipboard,a small writing board with a clip at the top for holding papers,['clipboard'],268,0
268,clippers_(for_plants),shears for cutting grass or shrubbery (often used in the plural),['clippers_(for_plants)'],269,0
269,cloak,a loose outer garment,['cloak'],270,0
270,clock,a timepiece that shows the time of day,"['clock', 'timepiece', 'timekeeper']",271,0
271,clock_tower,a tower with a large clock visible high up on an outside face,['clock_tower'],272,0
272,clothes_hamper,a hamper that holds dirty clothes to be washed or wet clothes to be dried,"['clothes_hamper', 'laundry_basket', 'clothes_basket']",273,0
273,clothespin,wood or plastic fastener; for holding clothes on a clothesline,"['clothespin', 'clothes_peg']",274,0
274,clutch_bag,a woman's strapless purse that is carried in the hand,['clutch_bag'],275,0
275,coaster,a covering (plate or mat) that protects the surface of a table,['coaster'],276,0
276,coat,an outer garment that has sleeves and covers the body from shoulder down,['coat'],277,0
277,coat_hanger,a hanger that is shaped like a person's shoulders,"['coat_hanger', 'clothes_hanger', 'dress_hanger']",278,0
278,coatrack,a rack with hooks for temporarily holding coats and hats,"['coatrack', 'hatrack']",279,0
279,cock,adult male chicken,"['cock', 'rooster']",280,0
280,cockroach,any of numerous chiefly nocturnal insects; some are domestic pests,['cockroach'],281,0
281,cocoa_(beverage),a beverage made from cocoa powder and milk and sugar; usually drunk hot,"['cocoa_(beverage)', 'hot_chocolate_(beverage)', 'drinking_chocolate']",282,0
282,coconut,large hard-shelled brown oval nut with a fibrous husk,"['coconut', 'cocoanut']",283,0
283,coffee_maker,a kitchen appliance for brewing coffee automatically,"['coffee_maker', 'coffee_machine']",284,0
284,coffee_table,low table where magazines can be placed and coffee or cocktails are served,"['coffee_table', 'cocktail_table']",285,0
285,coffeepot,tall pot in which coffee is brewed,['coffeepot'],286,0
286,coil,tubing that is wound in a spiral,['coil'],287,0
287,coin,a flat metal piece (usually a disc) used as money,['coin'],288,0
288,colander,bowl-shaped strainer; used to wash or drain foods,"['colander', 'cullender']",289,0
289,coleslaw,basically shredded cabbage,"['coleslaw', 'slaw']",290,0
290,coloring_material,any material used for its color,"['coloring_material', 'colouring_material']",291,0
291,combination_lock,lock that can be opened only by turning dials in a special sequence,['combination_lock'],292,0
292,pacifier,device used for an infant to suck or bite on,"['pacifier', 'teething_ring']",293,0
293,comic_book,a magazine devoted to comic strips,['comic_book'],294,0
294,compass,navigational instrument for finding directions,['compass'],295,0
295,computer_keyboard,a keyboard that is a data input device for computers,"['computer_keyboard', 'keyboard_(computer)']",296,0
296,condiment,a preparation (a sauce or relish or spice) to enhance flavor or enjoyment,['condiment'],297,0
297,cone,a cone-shaped object used to direct traffic,"['cone', 'traffic_cone']",298,0
298,control,a mechanism that controls the operation of a machine,"['control', 'controller']",299,0
299,convertible_(automobile),a car that has top that can be folded or removed,['convertible_(automobile)'],300,0
300,sofa_bed,a sofa that can be converted into a bed,['sofa_bed'],301,0
301,cooker,a utensil for cooking,['cooker'],302,0
302,cookie,any of various small flat sweet cakes (`biscuit' is the British term),"['cookie', 'cooky', 'biscuit_(cookie)']",303,0
303,cooking_utensil,a kitchen utensil made of material that does not melt easily; used for cooking,['cooking_utensil'],304,0
304,cooler_(for_food),an insulated box for storing food often with ice,"['cooler_(for_food)', 'ice_chest']",305,0
305,cork_(bottle_plug),the plug in the mouth of a bottle (especially a wine bottle),"['cork_(bottle_plug)', 'bottle_cork']",306,0
306,corkboard,a sheet consisting of cork granules,['corkboard'],307,0
307,corkscrew,a bottle opener that pulls corks,"['corkscrew', 'bottle_screw']",308,0
308,edible_corn,ears or kernels of corn that can be prepared and served for human food (only mark individual ears or kernels),"['edible_corn', 'corn', 'maize']",309,0
309,cornbread,bread made primarily of cornmeal,['cornbread'],310,0
310,cornet,a brass musical instrument with a narrow tube and a flared bell and many valves,"['cornet', 'horn', 'trumpet']",311,0
311,cornice,a decorative framework to conceal curtain fixtures at the top of a window casing,"['cornice', 'valance', 'valance_board', 'pelmet']",312,0
312,cornmeal,coarsely ground corn,['cornmeal'],313,0
313,corset,a woman's close-fitting foundation garment,"['corset', 'girdle']",314,0
314,costume,the attire characteristic of a country or a time or a social class,['costume'],315,0
315,cougar,large American feline resembling a lion,"['cougar', 'puma', 'catamount', 'mountain_lion', 'panther']",316,0
316,coverall,a loose-fitting protective garment that is worn over other clothing,['coverall'],317,0
317,cowbell,a bell hung around the neck of cow so that the cow can be easily located,['cowbell'],318,0
318,cowboy_hat,a hat with a wide brim and a soft crown; worn by American ranch hands,"['cowboy_hat', 'ten-gallon_hat']",319,0
319,crab_(animal),decapod having eyes on short stalks and a broad flattened shell and pincers,['crab_(animal)'],320,0
320,crabmeat,the edible flesh of any of various crabs,['crabmeat'],321,0
321,cracker,a thin crisp wafer,['cracker'],322,0
322,crape,small very thin pancake,"['crape', 'crepe', 'French_pancake']",323,0
323,crate,a rugged box (usually made of wood); used for shipping,['crate'],324,0
324,crayon,writing or drawing implement made of a colored stick of composition wax,"['crayon', 'wax_crayon']",325,0
325,cream_pitcher,a small pitcher for serving cream,['cream_pitcher'],326,0
326,crescent_roll,very rich flaky crescent-shaped roll,"['crescent_roll', 'croissant']",327,0
327,crib,baby bed with high sides made of slats,"['crib', 'cot']",328,0
328,crock_pot,an earthen jar (made of baked clay) or a modern electric crockpot,"['crock_pot', 'earthenware_jar']",329,0
329,crossbar,a horizontal bar that goes across something,['crossbar'],330,0
330,crouton,a small piece of toasted or fried bread; served in soup or salads,['crouton'],331,0
331,crow,black birds having a raucous call,['crow'],332,0
332,crowbar,a heavy iron lever with one end forged into a wedge,"['crowbar', 'wrecking_bar', 'pry_bar']",333,0
333,crown,an ornamental jeweled headdress signifying sovereignty,['crown'],334,0
